timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,external
1726750603080, 2878511, 139102, 208007168, 126578688, 121864152, 5533733
1726750604085, 2879001, 139104, 208007168, 126578688, 121870880, 5533744
1726750605089, 2879944, 139122, 208007168, 126578688, 121877608, 5533755
1726750606094, 2880634, 139125, 208007168, 126578688, 121884400, 5533766
1726750607099, 2881119, 139130, 208007168, 126578688, 121891128, 5533777
1726750608104, 2881579, 139152, 208007168, 126578688, 121897856, 5533788
1726750609110, 2882031, 139174, 208007168, 126578688, 121904584, 5533799
1726750610115, 2882677, 139205, 208007168, 126578688, 121911312, 5533810
1726750611119, 2883620, 139251, 208007168, 126578688, 121918040, 5533821
1726750612125, 2884080, 139273, 208138240, 126578688, 121924768, 5533832
1726750613130, 2884821, 139309, 208138240, 126578688, 121931496, 5533843
1726750614134, 2885041, 140268, 208138240, 126578688, 121938224, 5533854
1726750615139, 2885511, 140359, 208138240, 126578688, 121944952, 5533865
1726750616144, 2886040, 140385, 208138240, 126578688, 121951680, 5533876
1726750617149, 2886500, 140407, 208269312, 126578688, 121958408, 5533887
1726750618155, 2886985, 140431, 208269312, 126578688, 121965136, 5533898
1726750619160, 2888123, 140437, 208269312, 126578688, 121971864, 5533909
1726750620164, 2888512, 140456, 208269312, 126578688, 121978592, 5533920
1726750621170, 2888989, 140479, 208269312, 126578688, 121985320, 5533931
1726750622174, 2889556, 140506, 208269312, 126578688, 121992048, 5533942
1726750623179, 2890136, 140535, 208269312, 126578688, 121998776, 5533953
1726750624185, 2890620, 140558, 208269312, 126578688, 122005504, 5533964
1726750625189, 2891347, 140594, 208269312, 126578688, 122012232, 5533975
1726750626195, 2891733, 140612, 208269312, 126578688, 122018960, 5533986
1726750627197, 2892288, 140639, 208269312, 126578688, 122025688, 5533997
1726750628202, 2893902, 140668, 208269312, 126578688, 122032416, 5534008
1726750629206, 2894580, 140701, 208269312, 126578688, 122039144, 5534019
1726750630212, 2895122, 140728, 208400384, 126578688, 122045872, 5534030
1726750631216, 2895731, 140757, 208400384, 126578688, 122052600, 5534041
1726750632221, 2896100, 140775, 208400384, 126578688, 122059328, 5534052
1726750633227, 2896684, 140803, 208400384, 126578688, 122066056, 5534063
1726750634232, 2897523, 140815, 208531456, 126578688, 122072784, 5534074
1726750635237, 2898014, 140819, 208531456, 126578688, 122079512, 5534085
1726750636242, 2898677, 140820, 208531456, 126578688, 122086240, 5534096
