Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms
4,1,3.01,2.07,72.54,170.52,154586.00,0.32,0.50,676.00,333340.00
4,2,5.80,7.94,76.59,158.89,163438.00,0.29,0.47,627.00,67603.00
4,3,2.94,2.18,73.18,172.69,156169.00,0.31,0.51,661.00,335634.00
4,4,3.80,4.67,76.13,165.95,162612.00,0.31,0.49,664.00,189497.00
4,5,3.15,2.86,79.57,190.70,169887.00,0.31,0.49,658.00,317051.00
4,6,3.27,3.40,70.12,147.41,149422.00,0.28,0.47,591.00,260105.00
4,7,4.04,5.29,82.77,186.65,176791.00,0.29,0.49,621.00,169625.00
4,8,2.93,2.59,74.60,178.87,159187.00,0.28,0.47,597.00,344264.00
4,9,7.02,10.45,86.67,212.62,185035.00,0.29,0.48,611.00,68556.00
4,10,4.28,5.94,85.13,185.61,181493.00,0.32,0.50,683.00,174131.00
4,11,5.31,7.50,84.21,186.37,179782.00,0.30,0.48,648.00,102402.00
4,12,6.00,8.74,80.49,169.37,171684.00,0.30,0.49,636.00,76449.00
4,13,3.07,2.71,78.95,171.08,168401.00,0.29,0.48,627.00,316357.00
4,14,3.75,4.38,75.73,166.00,161694.00,0.30,0.47,642.00,202796.00
4,15,5.37,7.53,77.93,161.09,166372.00,0.30,0.48,643.00,89938.00
4,16,5.89,8.16,82.18,176.19,175365.00,0.29,0.49,626.00,74894.00
4,17,2.97,2.18,79.49,181.05,169707.00,0.30,0.47,636.00,345557.00
4,18,4.51,6.00,76.97,166.93,164174.00,0.30,0.50,634.00,151897.00
4,19,8.04,10.46,75.06,163.05,160098.00,0.29,0.49,627.00,81395.00
4,20,4.33,5.68,77.21,176.04,164844.00,0.30,0.49,644.00,163761.00
4,21,5.12,7.27,77.46,182.09,165224.00,0.29,0.49,622.00,113227.00
4,22,5.02,6.89,83.83,179.90,178885.00,0.31,0.48,651.00,120967.00
4,23,6.72,9.94,79.73,190.15,170143.00,0.29,0.49,611.00,78905.00
4,24,2.94,1.77,73.20,167.33,156216.00,0.31,0.50,669.00,323992.00
4,25,3.00,2.41,71.50,161.99,152441.00,0.33,0.50,701.00,327737.00
4,26,5.88,8.72,81.99,181.42,175047.00,0.30,0.49,641.00,91682.00
4,27,6.48,9.46,88.12,199.04,188145.00,0.29,0.47,629.00,69039.00
4,28,4.86,6.78,89.64,223.24,191198.00,0.29,0.47,614.00,108945.00
4,29,3.40,4.09,80.25,185.99,171089.00,0.31,0.49,654.00,276951.00
4,30,3.04,2.12,72.20,158.89,154081.00,0.30,0.49,644.00,323559.00
4,31,3.34,3.13,68.73,161.56,146673.00,0.31,0.51,667.00,295214.00
4,32,3.11,2.46,81.09,174.31,173128.00,0.31,0.51,668.00,337377.00
4,33,5.49,7.76,83.44,199.73,177987.00,0.29,0.46,622.00,82366.00
4,34,3.07,2.26,76.77,166.04,163818.00,0.31,0.49,657.00,341727.00
4,35,4.94,6.97,72.45,147.88,154539.00,0.32,0.51,679.00,124997.00
5,1,3.27,3.07,93.45,208.87,199146.00,0.33,0.53,705.00,376283.00
5,2,3.46,3.42,95.44,202.27,203568.00,0.32,0.49,682.00,287310.00
5,3,6.02,8.45,102.25,227.59,218197.00,0.29,0.50,628.00,82454.00
5,4,7.97,9.79,98.16,207.35,209376.00,0.29,0.50,620.00,75038.00
5,5,3.02,2.44,97.34,210.03,207728.00,0.33,0.50,701.00,363519.00
5,6,4.33,5.85,90.42,207.04,193056.00,0.32,0.51,685.00,227064.00
5,7,5.86,8.26,92.96,199.86,198107.00,0.30,0.49,633.00,79558.00
5,8,3.30,2.91,101.95,234.05,217351.00,0.32,0.49,686.00,355908.00
5,9,3.95,5.09,88.27,195.55,188378.00,0.31,0.49,665.00,253469.00
5,10,6.08,8.63,105.90,230.25,225981.00,0.30,0.49,646.00,80204.00
5,11,3.51,4.18,98.12,218.55,209190.00,0.30,0.49,640.00,305685.00
5,12,3.29,3.04,90.41,220.57,192842.00,0.32,0.50,679.00,383404.00
5,13,5.75,8.09,100.24,218.97,213702.00,0.30,0.50,650.00,96789.00
5,14,6.11,8.54,95.70,201.87,204322.00,0.30,0.49,631.00,80932.00
5,15,3.48,3.84,100.81,216.07,215020.00,0.30,0.49,643.00,338556.00
5,16,3.15,2.31,99.53,277.29,212193.00,0.34,0.51,715.00,391683.00
5,17,3.31,3.34,96.02,229.61,204996.00,0.31,0.48,655.00,349375.00
5,18,7.07,10.53,98.02,206.69,209080.00,0.32,0.51,686.00,70454.00
5,19,3.05,2.10,106.24,248.58,226711.00,0.33,0.51,710.00,403745.00
5,20,5.16,7.19,104.47,246.44,222932.00,0.30,0.54,645.00,116244.00
5,21,5.96,7.95,94.25,192.20,200950.00,0.29,0.47,627.00,72696.00
5,22,3.91,4.91,88.52,187.99,188810.00,0.30,0.48,645.00,268970.00
5,23,3.58,4.43,96.86,208.42,206603.00,0.30,0.49,640.00,288358.00
5,24,3.37,2.59,83.67,187.72,178463.00,0.33,0.50,710.00,378709.00
5,25,6.61,9.35,96.19,214.25,205366.00,0.32,0.50,689.00,67285.00
5,26,3.45,3.62,86.52,218.07,184721.00,0.31,0.49,668.00,381765.00
5,27,6.03,8.54,94.27,200.45,201264.00,0.31,0.50,657.00,100057.00
5,28,3.40,2.74,87.38,205.97,186391.00,0.35,0.51,736.00,400574.00
5,29,3.67,4.23,84.10,176.00,179386.00,0.32,0.48,693.00,311025.00
5,30,4.68,6.41,97.30,238.62,207630.00,0.31,0.49,672.00,159187.00
5,31,3.85,4.44,89.50,194.17,191088.00,0.32,0.49,688.00,246827.00
5,32,3.08,2.49,105.51,236.66,225260.00,0.34,0.54,719.00,392523.00
5,33,3.68,3.99,99.05,233.33,211176.00,0.32,0.49,675.00,326398.00
5,34,3.26,2.44,82.33,193.22,175533.00,0.33,0.52,700.00,417474.00
5,35,7.02,10.54,88.83,197.09,189660.00,0.30,0.52,635.00,75888.00
6,1,3.45,3.43,124.35,282.90,265107.00,0.31,0.51,671.00,416912.00
