Clients,Iteration,Success,Duration_s,Avg_CPU_Total_%,Max_CPU_Total_%,StdDev_CPU_%,Avg_RSS_MB,Max_RSS_MB,Avg_Heap_Used_MB,Max_Heap_Used_MB,Heap_Utilization_%
8,28,TRUE,716,21298.7,87735.2,34037.0,230,301,150,202,94.5
8,29,TRUE,716,19914.0,88357.5,33345.4,229,293,150,197,94.7
8,30,TRUE,716,21550.1,86511.3,34160.6,229,301,150,206,94.9
8,31,TRUE,716,20846.8,88749.7,33812.9,229,292,150,187,95.0
8,32,TRUE,717,19561.2,86659.7,33033.5,229,296,151,200,95.0
8,33,TRUE,716,20029.6,87499.1,33152.8,228,276,150,181,95.2
8,34,TRUE,716,20037.9,86444.6,33223.3,228,283,150,181,95.4
8,35,TRUE,716,20008.9,88120.5,33584.2,228,280,151,183,95.3
9,1,TRUE,716,22421.4,98541.0,34899.2,229,314,150,217,94.4
9,2,FALSE,717,22098.7,97998.7,34624.6,229,282,150,176,94.5
9,3,TRUE,729,20029.0,99412.8,33262.5,229,289,150,195,94.5
9,4,FALSE,714,21761.9,98786.5,34414.1,229,270,150,192,94.6
9,5,FALSE,715,23193.6,98754.2,35380.7,229,269,150,193,94.5
9,6,TRUE,716,21319.2,98654.7,34732.7,229,289,150,193,94.5
9,7,TRUE,716,20505.7,99197.7,34035.9,230,294,151,193,94.4
9,8,TRUE,716,18853.2,99199.0,32951.5,230,292,151,199,94.6
9,9,TRUE,716,19438.2,99202.4,33365.4,229,276,150,193,94.6
9,10,TRUE,716,20626.2,99203.0,34239.1,229,276,150,193,94.6
9,11,TRUE,717,23314.0,99936.5,35679.4,230,290,151,197,94.6
9,12,TRUE,716,21913.9,100294.9,34592.0,230,293,150,193,94.6
9,13,FALSE,717,21733.2,99920.6,35064.6,230,278,151,193,94.7
9,14,TRUE,716,22330.5,99238.5,35258.2,230,446,151,347,94.7
9,15,TRUE,717,20929.1,100558.2,34553.0,229,270,150,194,94.8
9,16,TRUE,716,22120.0,100271.4,34883.9,229,280,150,194,94.8
9,17,FALSE,716,21753.9,99929.8,35008.1,229,282,150,194,94.9
9,18,TRUE,717,21530.2,99678.8,34281.6,229,296,150,194,94.8
9,19,TRUE,717,21100.0,98384.0,34265.7,229,436,150,336,94.8
9,20,TRUE,717,22832.3,99690.5,35115.2,229,296,150,194,94.9
9,21,TRUE,716,22253.3,101145.5,35389.0,229,284,150,194,95.0
9,22,TRUE,716,21443.0,100763.5,34629.7,229,301,151,204,95.0
9,23,TRUE,717,20333.6,100126.4,34117.1,229,308,151,210,95.1
9,24,TRUE,717,21556.2,99710.6,34947.4,229,271,151,195,95.0
9,25,TRUE,716,21200.6,102613.7,34837.3,229,306,151,209,95.1
9,26,TRUE,716,22835.3,102477.5,35637.9,229,308,151,206,95.2
9,27,TRUE,716,22130.1,100157.8,35191.7,230,485,152,384,95.2
9,28,TRUE,717,23336.2,103774.0,36011.0,229,288,151,195,95.2
9,29,TRUE,716,21083.6,101307.9,34695.8,229,302,151,200,95.3
9,30,TRUE,716,22087.4,102305.8,35363.7,229,277,152,195,95.4
9,31,TRUE,716,22035.9,102666.2,35541.1,229,272,152,195,95.4
9,32,TRUE,716,21906.8,101648.2,35847.9,229,272,152,195,95.5
9,33,TRUE,716,21125.7,102952.4,34996.2,229,305,152,211,95.5
9,34,TRUE,716,21290.6,103014.2,35133.8,229,298,152,196,95.6
9,35,TRUE,716,20691.1,104771.0,34604.5,229,279,152,196,95.4
10,1,FALSE,716,359744.1,1617688.7,650764.6,231,270,150,180,94.1
10,2,TRUE,716,379538.8,1618098.5,663839.5,231,273,150,182,94.2
10,3,TRUE,716,370026.8,1620046.2,657740.6,230,437,150,338,94.3
10,4,FALSE,716,398791.5,1618150.0,676700.7,230,256,149,171,94.4
10,5,TRUE,716,395737.1,1618632.6,674429.0,230,321,149,222,94.2
10,6,TRUE,716,375218.7,1621679.0,662418.9,230,274,149,181,94.4
10,7,TRUE,716,375355.0,1610575.7,664656.2,230,394,149,296,94.2
10,8,TRUE,716,367048.7,1619309.9,659204.4,230,276,149,181,94.2
10,9,TRUE,716,361622.0,1618993.9,655321.3,230,277,149,178,94.4
10,10,TRUE,716,341514.7,1619039.7,641810.3,229,273,149,177,94.4
10,11,TRUE,716,371313.2,1618137.7,662430.6,229,410,149,308,94.4
10,12,FALSE,716,346505.1,1620947.8,646274.8,229,255,149,172,94.4
10,13,FALSE,717,321347.7,1621083.1,628708.1,229,256,149,172,94.3
10,14,TRUE,716,352378.1,1621756.4,649325.0,229,275,149,179,94.3
10,15,FALSE,716,397401.3,1623418.4,679519.1,229,255,149,172,94.4
10,16,FALSE,716,384939.1,1620055.7,671644.9,229,254,149,172,94.4
10,17,FALSE,717,353702.2,1621674.9,651577.4,229,254,149,172,94.4
10,18,TRUE,716,385538.9,1619748.7,673006.7,229,320,149,222,94.4
10,19,FALSE,716,403787.3,1619830.9,684176.5,229,255,149,172,94.5
10,20,FALSE,716,434289.7,1621936.5,700891.7,229,271,149,172,94.6
10,21,FALSE,716,416201.9,1617517.2,689989.2,229,254,149,173,94.6
10,22,TRUE,716,399869.5,1621326.4,681351.8,229,274,149,178,94.6
10,23,FALSE,717,398551.5,1624814.1,682344.7,230,277,150,180,94.6
10,24,FALSE,716,381977.7,1624796.7,670312.5,230,277,150,182,94.6
10,25,TRUE,716,432889.2,1624781.3,700781.4,230,277,150,182,94.6
10,26,FALSE,716,420911.7,1624780.2,694729.6,230,256,150,176,94.7
10,27,FALSE,716,437175.1,1624788.6,703188.9,230,255,150,174,94.7
10,28,FALSE,717,380132.0,1625650.3,670427.8,230,252,150,174,94.7
10,29,FALSE,716,372895.2,1624794.0,665734.2,230,253,150,174,94.7
10,30,FALSE,716,414490.9,1626201.7,690224.1,230,254,150,175,94.7
10,31,FALSE,716,438497.1,1624794.4,704647.8,230,252,150,175,94.7
10,32,FALSE,717,387884.7,1626508.3,675872.6,230,254,150,175,94.7
10,33,FALSE,716,370979.5,1620064.1,665538.1,230,253,150,175,94.8
10,34,FALSE,716,411197.4,1623688.9,689132.5,230,253,150,175,94.9
10,35,TRUE,716,388906.5,1623240.3,676775.4,230,269,150,178,94.8
