Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms,RSP_Processing_Mean_ms,RSP_Processing_SD_ms,RSP_Processing_Sum_ms,RSP_Processing_Min_ms,RSP_Processing_Max_ms,RSP_Processing_Count
4,16,5.89,8.16,82.18,176.19,175365.00,0.29,0.49,626.00,74894.00,31.43,18.27,220.00,11.00,68.00,7
4,17,2.97,2.18,79.49,181.05,169707.00,0.30,0.47,636.00,345557.00,35.33,20.34,212.00,10.00,70.00,6
4,18,4.51,6.00,76.97,166.93,164174.00,0.30,0.50,634.00,151897.00,31.14,15.18,218.00,10.00,52.00,7
4,19,8.04,10.46,75.06,163.05,160098.00,0.29,0.49,627.00,81395.00,24.73,21.45,272.00,8.00,71.00,11
4,20,4.33,5.68,77.21,176.04,164844.00,0.30,0.49,644.00,163761.00,27.00,13.38,297.00,14.00,56.00,11
4,21,5.12,7.27,77.46,182.09,165224.00,0.29,0.49,622.00,113227.00,31.50,20.67,315.00,11.00,73.00,10
4,22,5.02,6.89,83.83,179.90,178885.00,0.31,0.48,651.00,120967.00,30.57,14.57,214.00,17.00,60.00,7
4,23,6.72,9.94,79.73,190.15,170143.00,0.29,0.49,611.00,78905.00,32.00,20.14,224.00,10.00,73.00,7
4,24,2.94,1.77,73.20,167.33,156216.00,0.31,0.50,669.00,323992.00,29.60,11.46,148.00,20.00,46.00,5
4,25,3.00,2.41,71.50,161.99,152441.00,0.33,0.50,701.00,327737.00,27.11,19.89,244.00,5.00,68.00,9
4,26,5.88,8.72,81.99,181.42,175047.00,0.30,0.49,641.00,91682.00,31.75,16.28,381.00,9.00,65.00,12
4,27,6.48,9.46,88.12,199.04,188145.00,0.29,0.47,629.00,69039.00,33.00,18.57,264.00,12.00,68.00,8
4,28,4.86,6.78,89.64,223.24,191198.00,0.29,0.47,614.00,108945.00,38.43,11.25,269.00,17.00,53.00,7
4,29,3.40,4.09,80.25,185.99,171089.00,0.31,0.49,654.00,276951.00,32.30,22.91,323.00,6.00,89.00,10
4,30,3.04,2.12,72.20,158.89,154081.00,0.30,0.49,644.00,323559.00,31.00,19.21,217.00,9.00,67.00,7
4,31,3.34,3.13,68.73,161.56,146673.00,0.31,0.51,667.00,295214.00,33.56,19.08,302.00,17.00,76.00,9
4,32,3.11,2.46,81.09,174.31,173128.00,0.31,0.51,668.00,337377.00,30.89,24.35,278.00,6.00,81.00,9
